sentence	sentence_id	locale	reason
Blijf steeds of de linker rijstrook.	28a3bcdccf01bfaf905ae6d3be21ff7a2047f42c2eaf9545d686728b9d3bc725	nl	grammar-or-spelling
Ik ben aanbevolen om naar een psychiater te gaan vanwege mijn depressie.	01a106b72103999c587db501ea48ebe865bb8311342d49e0d36206cd90545cfc	nl	grammar-or-spelling
Kan je de koordje van de cirkel aanduiden?	04468337d033c5be87b476a9715dd2e41f58fdeff4f35cfad0c8073c356f5f8f	nl	grammar-or-spelling
Als je batterij leeg is dan moet je ze opladen.	1d3258805812bc61ca36a55026e5ecba0845eb51d3c03bb2d47891bb12cf274b	nl	grammar-or-spelling
We willen onze eigen nieuwbouw project realiseren.	2cc8f55d4cc1b97b8f6357027d28c1fd665d2da52ba35f74be1b85a6f2df44d7	nl	grammar-or-spelling
Blijf steeds of de linker rijstrook.	28a3bcdccf01bfaf905ae6d3be21ff7a2047f42c2eaf9545d686728b9d3bc725	nl	grammar-or-spelling
We willen onze eigen nieuwbouw project realiseren.	2cc8f55d4cc1b97b8f6357027d28c1fd665d2da52ba35f74be1b85a6f2df44d7	nl	grammar-or-spelling
Ze wou weer de heldin uithangen.	397d8b89024c92ffe8fb2ed40b1dec2c4c35229d32a8245a0f987806c90bafad	nl	grammar-or-spelling
Mohammed keek ernstig maar Faisal.	46878ecbb4ccdbf00ab1e3d8bca3c98ecd9bc5307ccc234a8b150559149fe3d8	nl	grammar-or-spelling
Blijf steeds of de linker rijstrook.	28a3bcdccf01bfaf905ae6d3be21ff7a2047f42c2eaf9545d686728b9d3bc725	nl	grammar-or-spelling
Kan je de koordje van de cirkel aanduiden?	04468337d033c5be87b476a9715dd2e41f58fdeff4f35cfad0c8073c356f5f8f	nl	grammar-or-spelling
Op zondag is er een politiek debat tussen de voorzitter van CD&V en Vlaams Belang.	378cf4d09c5e9f0b74d38da52258fb9b4e5bd1706234e11fd4d965d552b87d78	nl	grammar-or-spelling
Mohammed keek ernstig maar Faisal.	46878ecbb4ccdbf00ab1e3d8bca3c98ecd9bc5307ccc234a8b150559149fe3d8	nl	grammar-or-spelling
De indianen woonden in wigwams.	5f02af6abf21961283693359211fa923a907c3ef823721b305c3ea937748eec8	nl	offensive-language
Die sok met streepjes vindt ik wel grappig.	37caf3282c29624efcd939b9688018913293c549ad1a319f714f5f64fe61b1dc	nl	grammar-or-spelling
Het etiket irriteert mij mateloos.	3b6a7c583e05ceae6e1ee4bf375a16a9be8fd189c0703c03ca48a6e797561e6b	nl	grammar-or-spelling
Over abortus zijn de meningen verdeelt.	3561d7c30bc9e45786d902a2b301135631dbf9b2b2ba5cbeee9d36041129aa48	nl	grammar-or-spelling
De paters bouwden bier.	18c9a6d584380bfa90aa656b63a5bca939b5935f4f829e983009967be3da879e	nl	grammar-or-spelling
Ze had een hernia overgehouden aan die verhuis.	14477acc46295ff355bcbe2645cf9c1b531f232e352a6540e1daddaef2095565	nl	grammar-or-spelling
Over een uurtje gaan we doorgaan.	6738ba8f3e3eba451c001750bfe426202ef70d4c3cded798aebe8135c5ed8c76	nl	grammar-or-spelling
Zij had prachtige foto's getrokken van de dieren in de dierentuin.	5ff590647f1ced7770522de33e103b08f9568b25a1c7bebd594eb8708c3d3a85	nl	grammar-or-spelling
We willen onze eigen nieuwbouw project realiseren.	2cc8f55d4cc1b97b8f6357027d28c1fd665d2da52ba35f74be1b85a6f2df44d7	nl	grammar-or-spelling
De paters bouwden bier.	18c9a6d584380bfa90aa656b63a5bca939b5935f4f829e983009967be3da879e	nl	grammar-or-spelling
Groenland heeft maar een vijftigduizend inwoners.	684274fb549dc0d2bbe12c7cdca50d04fb19a2ec10720e1a7c348cdacc1b0e6e	nl	grammar-or-spelling
Groenland heeft maar een vijftigduizend inwoners.	684274fb549dc0d2bbe12c7cdca50d04fb19a2ec10720e1a7c348cdacc1b0e6e	nl	grammar-or-spelling
De meeste voertuigen worden ieder jaar op het Autosalon gekocht.	68ac1abf2c9657c86c84dbea32465c44c5eec06bfe0b226cc1a48d8e5d47a5db	nl	grammar-or-spelling
Kan jij dat raadsel oplossen?	1cbf3f5d34045fd2362195ecdc075af7bfb2e604c499c068a2153365838274cc	nl	grammar-or-spelling
Die sok met streepjes vindt ik wel grappig.	37caf3282c29624efcd939b9688018913293c549ad1a319f714f5f64fe61b1dc	nl	grammar-or-spelling
De schoenen maakte deze keer een groot verschil voor de sprinter.	7044edf483e2aa5cd5152df198b9120bdb7678a10e4a180608bad702f1c060c5	nl	grammar-or-spelling
Als je het product wil gebruiken moet de je voorwaarden aanvaarden.	7822f8826336d2d2b4264d64d15d5ed73c136cc07896caf5f9786d891b09004e	nl	grammar-or-spelling
Water van de kraan is goed voor mij.	865af92ff1c282216770fbacdcdee0ec3448554a25a37b95488ddf6899498ee4	nl	grammar-or-spelling
Gelukkig hebben we de tijd van het kolonialisme achter ons gelaten.	157460d491809ca586172c67b52fb2761e231656ffa29258a1d7a3133c6f56ce	nl	offensive-language
Het moet niet gemakkelijk zijn om te leven in de koninklijke familie.	85dbde9504caac1dd319aae45278cd5c142ec863af61052d29e1dd89aa4eafd8	nl	grammar-or-spelling
Voor je met die roestige nagels werkt kijk je even na of je bent ingeënt tegen tetanus.	88040d20579ae83d6d2827be33795a7ac913204b7ef6dcb2f213c6f1f5340ba5	nl	grammar-or-spelling
De Beatles beleefden hun hoogdagen voor de jaren zeventig.	940c39b57b38d72096bd24b31ff35d7c82716d084314137c49a490801fe74950	nl	grammar-or-spelling
De Beatles beleefden hun hoogdagen voor de jaren zeventig.	940c39b57b38d72096bd24b31ff35d7c82716d084314137c49a490801fe74950	nl	different-language
Je kan blikjes kopen in de automaat in het cafetaria.	98236ad2efb514971d6232262d696a591c6ca806dd4a0c56256f7a1b40d9e500	nl	grammar-or-spelling
Hij sipte van het flesje limonade.	3d67fa28c66daa3c0f615a4544491cf3ee2d8191b2264bb126d4f2388e054a55	nl	grammar-or-spelling
Je slaat de nagel op de kop.	430479fdf9a21b1a68c5c1a644c26a7e73196b9fecc012227c795b93131102d4	nl	grammar-or-spelling
Je slaat de nagel op de kop.	430479fdf9a21b1a68c5c1a644c26a7e73196b9fecc012227c795b93131102d4	nl	different-language
Hij heeft al vaak accidenten gehad, maar enkel met blikschade.	4251b22b755b51e3af9cdd8b7069b9024e6859447167258852b1e18000c074f0	nl	grammar-or-spelling
Hij heeft al vaak accidenten gehad, maar enkel met blikschade.	4251b22b755b51e3af9cdd8b7069b9024e6859447167258852b1e18000c074f0	nl	different-language
Hij sipte van het flesje limonade.	3d67fa28c66daa3c0f615a4544491cf3ee2d8191b2264bb126d4f2388e054a55	nl	grammar-or-spelling
Hij sipte van het flesje limonade.	3d67fa28c66daa3c0f615a4544491cf3ee2d8191b2264bb126d4f2388e054a55	nl	different-language
Hij sipte van het flesje limonade.	3d67fa28c66daa3c0f615a4544491cf3ee2d8191b2264bb126d4f2388e054a55	nl	Niet bestaand woord
Aalst staat bekent om de viering van carnaval.	85083438832ad38a23d5adf3d0e8db5881c126a04799d2ebe1f9805e7cf11191	nl	grammar-or-spelling
Het serie op televisie kreeg goede recensies.	4faa8a151b0b727ffe29e5f886fea83c7592d01eee2aef1f8003a52bebb6d861	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
Mijn collega’s hebben lang gebabbeld aan het koffiemachine.	aaf6ab18355d381e878283338a07d7f11fc3610f84cd136ac339924fe37ffc28	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
Aalst staat bekent om de viering van carnaval.	85083438832ad38a23d5adf3d0e8db5881c126a04799d2ebe1f9805e7cf11191	nl	grammar-or-spelling
Ze had hem niet herkent in de donkere zaal.	b6408eaf157fec26e093f17ead658a34c92e11484ee416c06507ec7186be208b	nl	grammar-or-spelling
Als je voor twaalf uur besteld brengen ze het de volgende dag.	b9bcbb22e275c4c81e76795e7ea8d9e6ada36f76ec837af92ee38414cdf7d1ea	nl	grammar-or-spelling
Ze had hem niet herkent in de donkere zaal.	b6408eaf157fec26e093f17ead658a34c92e11484ee416c06507ec7186be208b	nl	grammar-or-spelling
Voor Spanje is Gibraltar een doorn in hun oog.	8c0b0cf5bf8d85cdd00e9b13aec0383329595835288272361ab733297cb0d916	nl	grammar-or-spelling
De fietser dronk de drinkbus leeg in een laatste teug.	cb8c153dc49960364d24012b4a4bf9387053b6c338c9eaaa53aa220951b97616	nl	different-language
De fietser dronk de drinkbus leeg in een laatste teug.	cb8c153dc49960364d24012b4a4bf9387053b6c338c9eaaa53aa220951b97616	nl	grammar-or-spelling
De stroompanne duurde bijna twee uur.	a895ee059ddbfd7fa595c9acee67d131ecaff75d33c56e6913c83c061bd557e5	nl	different-language
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
Ze had hem niet herkent in de donkere zaal.	b6408eaf157fec26e093f17ead658a34c92e11484ee416c06507ec7186be208b	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
Het serie op televisie kreeg goede recensies.	4faa8a151b0b727ffe29e5f886fea83c7592d01eee2aef1f8003a52bebb6d861	nl	grammar-or-spelling
Het is wel zo dat woorden die in de data zitten beter herkent worden.	dc13b452d29626bfdc8cc110c33a48ad99bccaf35f8403d1e409d16c804aa88c	nl	grammar-or-spelling
De sleutel zat verpakt in een plastieken verpakking.	a29e62a9ae7d441c36816142b14f1a80fbe7fc1d1761ee9b93b2b718567cfabc	nl	grammar-or-spelling
Er komt pus uit de wonde.	ae76a4abbe3640a56186fb2b4e7b193815827f40af01850ccd68543675e411c3	nl	grammar-or-spelling
Je kan blikjes kopen in de automaat in het cafetaria.	98236ad2efb514971d6232262d696a591c6ca806dd4a0c56256f7a1b40d9e500	nl	grammar-or-spelling
Ligt de zaklamp in een schuif in de keuken of in de kast in de slaapkamer?	6d58a59875c65de38d096804f758463f3410bf5a5b54923330058572367393be	nl	grammar-or-spelling
Geen zorgen, ik heb een plooifiets bij.	ba0aca098cfe97b64e935bb3f040ff4b860b7971c8982d17f1582da1f7cd02a4	nl	grammar-or-spelling
De fietser dronk de drinkbus leeg in een laatste teug.	cb8c153dc49960364d24012b4a4bf9387053b6c338c9eaaa53aa220951b97616	nl	grammar-or-spelling
Geen zorgen, ik heb een plooifiets bij.	ba0aca098cfe97b64e935bb3f040ff4b860b7971c8982d17f1582da1f7cd02a4	nl	grammar-or-spelling
Het serie op televisie kreeg goede recensies.	4faa8a151b0b727ffe29e5f886fea83c7592d01eee2aef1f8003a52bebb6d861	nl	grammar-or-spelling
Je moet je antibioticakuur helemaal afmaken want anders bestaat er het gevaar dat je resistente bacteriën ontwikkeld.	d0d4aff7abb3d730b585d1098c2b5a021ea9689796915c794c4951efcb480c43	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
Moet hoeveel zijn jullie?	e7a20b37f75b565189370b1a8d414ee05dd9848f5b2bd9dfcf3a8fcc3825708b	nl	grammar-or-spelling
We zitten terug op het zomertijd, maar ik moet de klok nog synchroniseren.	e4473c93a40de770511790f81bf6316d6dfbb693a7abefe8b7ef57d7d34cc09b	nl	grammar-or-spelling
Dat kader in een lopend onderzoek.	e67353cbfa7e098767c4cfb879a5ea64666f41dcb8048ba8b2192de36b47543e	nl	grammar-or-spelling
Er was een vermoeden was een zware misdaad.	e93ff873c42a004bda5925f1bf4dc05f45176b8988f9be9b988f4784743cb55e	nl	grammar-or-spelling
Moet hoeveel zijn jullie?	e7a20b37f75b565189370b1a8d414ee05dd9848f5b2bd9dfcf3a8fcc3825708b	nl	grammar-or-spelling
We zitten terug op het zomertijd, maar ik moet de klok nog synchroniseren.	e4473c93a40de770511790f81bf6316d6dfbb693a7abefe8b7ef57d7d34cc09b	nl	grammar-or-spelling
Dat kader in een lopend onderzoek.	e67353cbfa7e098767c4cfb879a5ea64666f41dcb8048ba8b2192de36b47543e	nl	grammar-or-spelling
We zitten terug op het zomertijd, maar ik moet de klok nog synchroniseren.	e4473c93a40de770511790f81bf6316d6dfbb693a7abefe8b7ef57d7d34cc09b	nl	grammar-or-spelling
Je kan de gemorste cola opruimen met keukenrol.	e9711455e969b3b28596ef983e7195434f32ebf6bc3b3dbf6376fba96e4c274e	nl	grammar-or-spelling
Dat kader in een lopend onderzoek.	e67353cbfa7e098767c4cfb879a5ea64666f41dcb8048ba8b2192de36b47543e	nl	grammar-or-spelling
Btw is de afkorting voor belasting op toevoegde waarde.	f1fa730fc917f8de8b4c0a839d05e35da6524276195d976649cef4a589d82aed	nl	grammar-or-spelling
Met knikkende knieën begaf hij zich maar het kantoor van de directrice.	12d1a80339be70396d322747767988276574aa37eea5621fdaa8f8b04e708d45	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
De stroom was in heel de stad was voor een uur uitgevallen.	c844e21852e95fc4522fd37ffb7b175852b0b87fe024031480fb1dba47108c00	nl	difficult-pronounce
Er stak een nagel uit aan de stoel en nu zat er een groot gapend gat in mijn broek.	f9704155a468044fd7d278f8ccef83923a079f5e49f23027da26522d9d371d2d	nl	grammar-or-spelling
Ze hebben een groot canvas opgehangen in hun living.	c050bbc4b11198e0169e4f785e36392a5a73fbd0c1208db90874898975ed00f3	nl	different-language
Er staat een paginanummer onderaan de pagina.	4ecefbc6bdba1993489545f2eb6c650888ad4e906c433a2a3b6bdf6c34ef74a8	nl	offensive-language
De getuige verteld uitgebreid over de misdaad tegenover de rechter.	8afd850f323e45fa54cc1b221573a1f3988db41a823b8f639f849126f6903660	nl	grammar-or-spelling
Over een uurtje gaan we doorgaan.	6738ba8f3e3eba451c001750bfe426202ef70d4c3cded798aebe8135c5ed8c76	nl	grammar-or-spelling
De prijs van zonnepanelen zijn de afgelopen jaren enorm gedaald.	767b04f14728a8dfda670c01e67fe0e57bdd3131b545ba4ec1894ce21abd4cfc	nl	grammar-or-spelling
Ik heb wel graag een glaasje pastis.	8cba4aa1c6fbf62743dabe9e7551367e147953a3d478f43437d5e06bc84e502a	nl	difficult-pronounce
De prijs van zonnepanelen zijn de afgelopen jaren enorm gedaald.	767b04f14728a8dfda670c01e67fe0e57bdd3131b545ba4ec1894ce21abd4cfc	nl	grammar-or-spelling
Een bekend ezelsbruggetje om de volgorde van de acht planeten te onthouden is: "Maak van acht meter Japanse stof uw nachthemd" waarbij de eerste letters overeenkomen met de eerste letters van de planeten.	a12c2e98cf07fa3777d3950fc45b14af393e8eda5c6c21d66768d7685ebe0e52	nl	Te lang
Een bekend ezelsbruggetje om de volgorde van de acht planeten te onthouden is: "Maak van acht meter Japanse stof uw nachthemd" waarbij de eerste letters overeenkomen met de eerste letters van de planeten.	a12c2e98cf07fa3777d3950fc45b14af393e8eda5c6c21d66768d7685ebe0e52	nl	Te lang
De wedstrijd startte vanop de stip.	958ccda968e41b67939ce452c8504f4028255acf6b77e914996133ff1281e6a7	nl	grammar-or-spelling
Roodkapje had schrik van de wolf.	e94af8a92e2ceb104a081bab02f215616032b6f4c7c101e3260df0b81db4bed9	nl	different-language
Roodkapje had schrik van de wolf.	e94af8a92e2ceb104a081bab02f215616032b6f4c7c101e3260df0b81db4bed9	nl	grammar-or-spelling
Een bekend ezelsbruggetje om de volgorde van de acht planeten te onthouden is: "Maak van acht meter Japanse stof uw nachthemd" waarbij de eerste letters overeenkomen met de eerste letters van de planeten.	a12c2e98cf07fa3777d3950fc45b14af393e8eda5c6c21d66768d7685ebe0e52	nl	Te lang, too long
De bus vertrekt stip om zestien over drie.	f8038e858929203b764a456c86a9ca47b720848ab587dfbf7e298e6b9e67710d	nl	grammar-or-spelling
Als je voor twaalf uur besteld brengen ze het de volgende dag.	b9bcbb22e275c4c81e76795e7ea8d9e6ada36f76ec837af92ee38414cdf7d1ea	nl	grammar-or-spelling
We beschikken over veel te weinig statistische gegevens om een en ander kunnen staven.	00869495417ac63a93708527c5a0fc68877c9f16a46fa3fdcfee407637d938e4	nl	grammar-or-spelling
Programma's met eenvoudiger regels zullen ook transparanter en doeltreffender zijn.	00d95d1c3366d99f1da8cfa51806716e01503713c29eff3dc1842eb474d71d98	nl	grammar-or-spelling
Programma's met eenvoudiger regels zullen ook transparanter en doeltreffender zijn.	00d95d1c3366d99f1da8cfa51806716e01503713c29eff3dc1842eb474d71d98	nl	grammar-or-spelling
Collega=s, wij kunnen dit niet over onze kant laten gaan.	0357a7c15b2a728f9bc2d8ce667451d3c08d23cf43ca88accc7ac948b321630d	nl	grammar-or-spelling
Wij weten dat wij hier te maken met twee strafbare feiten van verschillende aard.	038177da6a10e5cead591ce0b38e3d0bde0121a6ffee4366fdf7c57c2548316f	nl	grammar-or-spelling
Collega=s, wij kunnen dit niet over onze kant laten gaan.	0357a7c15b2a728f9bc2d8ce667451d3c08d23cf43ca88accc7ac948b321630d	nl	grammar-or-spelling
Ziehier de redenen waarom we tegen hebben gestemd.	036b3ded16cc959d36966a1e2a7ab1e11fd4318dd1a84c43f8b42c4566d722ff	nl	grammar-or-spelling
Ziehier de redenen waarom we tegen hebben gestemd.	036b3ded16cc959d36966a1e2a7ab1e11fd4318dd1a84c43f8b42c4566d722ff	nl	grammar-or-spelling
We hebben dus een rechtvaardiger belastingstelsel nodig, want is het niet voldoende te harmoniseren.	03f1034bcb7bb726154a2c8cc0d1e22f857affd7735e5624b9aa327552a47c29	nl	grammar-or-spelling
Buitenlanders uit derde landen verrichten meestal de zwaarste en slechtst betaalde banen.	041492ce98bfa84f867558be6e892c07d7dce881b9b4946fb41710a146bf9174	nl	grammar-or-spelling
De laatste reeks maatregelen was het onlangs goedgekeurde energiepakket.	03979148ef63c04d439413f63dd3cad1875bcc06fd39d8d1173deed9792fbe72	nl	grammar-or-spelling
We kunnen zo het verslag evenwicht maken en komen tot een sterkere ontwikkelingsdimensie.	049c7f0bfd8283aaa6c2cb23ecbcedb17e1f4daac55fa908232f1731cc0c5b66	nl	grammar-or-spelling
Ik verwijs bijvoorbeeld naar de richtsnoeren op het gebied van de werkgelegenheid.	05117bc7eea16e6f2590ddac23c25e6a56297f0e2b687de662f4cbffae38b0a2	nl	grammar-or-spelling
Wij vinden het echter belangrijk te preciseren wat met dierenwelzijn en milieu wordt bedoeld.	04fb951a9cf1fab31e9d76a7cd59ce690cd8408774e9bca908a7494df50f85de	nl	grammar-or-spelling
Het is dus zaak om serieus aandacht te besteden aan het onderhavige vraagstuk.	05efda7c381c7455cf4b81ef8768f61c99b57aed5b97719362b564e979404b14	nl	grammar-or-spelling
Die was namelijk flink gedaald als gevolg van de crisis ronde de gekkekoeienziekte.	063fd0f034f1382d8a1d8f80264184f4621804b00803c0934aba42758f302b61	nl	grammar-or-spelling
Ook over de zijn wij tot overeenstemming gekomen.	054cdcaeacaa2556d3265a920b8eab35a060baca931bf81cecd2743212141b39	nl	grammar-or-spelling
Ook over de zijn wij tot overeenstemming gekomen.	054cdcaeacaa2556d3265a920b8eab35a060baca931bf81cecd2743212141b39	nl	grammar-or-spelling
Burgers hebben zelden een bankrekening in euro en verrichten nauwelijks betalingen in euro.	06e2e91273a8cffa891714a144963c8e545c7cf90db046fc906ccd1b83b2cc37	nl	grammar-or-spelling
Een en ander moet stroken met de voor alle andere inkomsten geldende financiële regels.	06c458507d0e198a7a75e9ffb93dd39ebcc6dbff434c5430e67a94dbdc154639	nl	grammar-or-spelling
Die was namelijk flink gedaald als gevolg van de crisis ronde de gekkekoeienziekte.	063fd0f034f1382d8a1d8f80264184f4621804b00803c0934aba42758f302b61	nl	grammar-or-spelling
Ik attendeer u erop dat de vragen nrs.	072ac63f1367222b444426ca772ccd546c403f66db5dfadd34f96dff569b4154	nl	nrs. is not the ending of a sentence and not a widely used abbreviation
Maar laat we het onderwerp eens nader bekijken.	07303926ecb9a668d54d191b84464db5e32bbd23b17a1d68416286a50f7c02eb	nl	grammar-or-spelling
Hier is een snelle en efficiënte wijziging van de wetgeving vereist.	07138e77709d2dc01d797adcfda1071212e7ac1a8cd21623a4817a93fff99b46	nl	grammar-or-spelling
Dit betekent reële kilometers wegdek, evenals gemoderniseerde spoorwegen en luchthavens.	0724eadaba1867535af5e40b053a1a3f80b383367994b0d47ce15ab7a38d76bd	nl	grammar-or-spelling
Ik attendeer u erop dat de vragen nrs.	072ac63f1367222b444426ca772ccd546c403f66db5dfadd34f96dff569b4154	nl	NRS is algemene betekenis
Het verslag effent de weg naar het vastgelegde doel.	071f01dcc0e874b7e390d07ebd0f95868443a2386023feab50e22d1360135d86	nl	grammar-or-spelling
Ik geloof niet dar er een reden is om deze autoriteiten verwijten te maken.	081403c7079761333855e09bcb8b89653daa5c1372e6c5df2815de25d27300f2	nl	grammar-or-spelling
Probeer niet de rennen voordat je kunt lopen.	07ad10fa43eae22970ef44785ffbf1c1b938cd750477ba60b2e6f2048ef99101	nl	grammar-or-spelling
Hiermee is de stemming is beëindigd.	083ec193578b05fcc588334e794058c445300a974638c53fb9e748d2b8a6f902	nl	grammar-or-spelling
Probeer niet de rennen voordat je kunt lopen.	07ad10fa43eae22970ef44785ffbf1c1b938cd750477ba60b2e6f2048ef99101	nl	grammar-or-spelling
Als die achteruitboeren of stilvallen, dan ondergraven het hele spel zelf.	0970f14853b814c938ffb037047311e440c3bffa52e037f6196526fa7dde83fb	nl	grammar-or-spelling
Ik geloof niet dar er een reden is om deze autoriteiten verwijten te maken.	081403c7079761333855e09bcb8b89653daa5c1372e6c5df2815de25d27300f2	nl	grammar-or-spelling
Als die achteruitboeren of stilvallen, dan ondergraven het hele spel zelf.	0970f14853b814c938ffb037047311e440c3bffa52e037f6196526fa7dde83fb	nl	grammar-or-spelling
Als die achteruitboeren of stilvallen, dan ondergraven het hele spel zelf.	0970f14853b814c938ffb037047311e440c3bffa52e037f6196526fa7dde83fb	nl	grammar-or-spelling
Voorts moeten er kwantitatieve normen, blootstelling aan risico, worden gesteld.	0a0c5e2038eda1877efd0a6f7e4699af51482e3eef1d545a2b6ef6a90d95e65a	nl	difficult-pronounce
Als die achteruitboeren of stilvallen, dan ondergraven het hele spel zelf.	0970f14853b814c938ffb037047311e440c3bffa52e037f6196526fa7dde83fb	nl	grammar-or-spelling
Ik geloof niet dar er een reden is om deze autoriteiten verwijten te maken.	081403c7079761333855e09bcb8b89653daa5c1372e6c5df2815de25d27300f2	nl	grammar-or-spelling
Daardoor blijft er een zwart gat bestaan waarin verdwijnen.	0a1965e4c46b75a074cff4909463ffdf4a2e0cf5b428436cf79a4c71e50e8eec	nl	grammar-or-spelling
Ik geloof niet dar er een reden is om deze autoriteiten verwijten te maken.	081403c7079761333855e09bcb8b89653daa5c1372e6c5df2815de25d27300f2	nl	grammar-or-spelling
Als die achteruitboeren of stilvallen, dan ondergraven het hele spel zelf.	0970f14853b814c938ffb037047311e440c3bffa52e037f6196526fa7dde83fb	nl	grammar-or-spelling
Via de ben ik er vervolgens achter gekomen dat het voor februari geagendeerd is.	067b5f0a3f73b43473c96b6c29e2a6eb87d1902d00b072583a0b14f8214fb2bb	nl	grammar-or-spelling
Daardoor blijft er een zwart gat bestaan waarin verdwijnen.	0a1965e4c46b75a074cff4909463ffdf4a2e0cf5b428436cf79a4c71e50e8eec	nl	grammar-or-spelling
Ik geloof niet dar er een reden is om deze autoriteiten verwijten te maken.	081403c7079761333855e09bcb8b89653daa5c1372e6c5df2815de25d27300f2	nl	grammar-or-spelling
Er zijn nog twee zetels van quaestoren vacant.	0a295742c80aa2130d121db137a108a08b09fb5446908536d507e2731e4489d2	nl	difficult-pronounce
Er zijn nog twee zetels van quaestoren vacant.	0a295742c80aa2130d121db137a108a08b09fb5446908536d507e2731e4489d2	nl	difficult-pronounce
